Word,Meaning
impeach,"akuzoj, padis"
impeached,"akuzuar, paditur"
impeachment,qortim(publik); paditje; dërgim në gjyq(për kundër shtetit)
impeachments,"akuzimet, paditjet"
impede,"pengoj, vonoj"
impeded,penguar
impedes,"vonon, pengon"
impediment,"pengesë, bllokim"
impediments,"pengesat, bllokimet"
impel,1. detyroj; nxit; 2. vë në lëvizje
impelled,detyruar
impelling,duke detyruar
impels,detyron
impending,duke ardhur
impenetrability,padepërtueshmëri
impenetrable,i padepërtueshëm
imperative,"komandë, nevojë"
imperatively,në mënyrë urgjente
imperatives,"komandat, urdhërat"
imperator,imperator
imperceptibly,në mënyrë delikate
imperfect,difektoz
imperfection,difekt
imperfections,difektet
imperfectly,në mënyrë difektoze
imperial,"mbretëror, imperial"
imperilled,rrezikuar
imperious,mbretëror
imperiously,në mënyrë mbretërore
imperishable,i pashkatërueshëm
impersonal,mb. pavetor; jo personal
impersonate,imitoj
impertinency,"egërsi, vulgaritet"
impertinent,"i egër, vulgar"
impetuosity,nxitim
impetuous,i nxituar
impetuously,në mënyrë të nxituar
impetus,"nxitje, impuls"
impieties,mungesë respekti
impiety,mungesë respekti
impious,"jo fetar, i pakujdesshëm"
implacable,i paqetësueshëm
implanted,"vendosur, futur"
implanting,"duke implantuar, duke u vendosur"
implement,zbatoj
implementation,zbatim
implemented,zbatuar
implements,zbatimet
implicated,implikuar
implicates,"implikon, lidh"
implication,implikimet
implications,"implikimet, kuptimet"
implicit,"1. indirekt, 2. i qartë, i përcaktuar, absolut, i plotë"
implicitly,"në mënyrë sugjeruese, pa pyetje"
implied,"sugjeruar indirekt, implikuar"
implies,"kërkon, sugjeron"
implore,lutem
implored,"lutur, kërkuar"
imploring,duke u lutur
imploringly,në mënyrë lutëse
imply,"sugjeroj, implikoj"
implying,duke implikuar
import,import
importance,rëndësi
importancy,rëndësi
important,i rëndësishëm
importantly,në mënyrë të rëndësishme
imported,importuar
importing,duke importuar
imports,importet
importunacy,"lutje, bezdisje"
importunate,"detyroj, kërkoj me ngulm, kërkoj me lutje"
importune,"lutem, bezdis"
importuned,"lutur, bezdisur"
importunes,"lutet, bezdis"
importunity,"lutje, bezdisje"
impose,detyroj
imposed,"vendosur, detyruar"
imposes,detyron
imposing,duke detyruar
imposition,detyrim
impositions,detyrimet
impossibilities,pamundësitë
impossibility,pamundësi
impossible,i/e pamundur
imposture,mashtrim
impostures,maashtrime
impotence,"impotencë, paaftësi"
impotent,"impotent, i paaftë"
impounded,"mbyll, konfiskoj, kufizoj, kap"
impoverished,varfëruar
impracticable,i pa praktikueshëm
impregnable,i padepërtueshëm
impregnated,fertilizoj
impregnates,fertilizon
impregnation,"konceptim, fertilizim"
impress,impresionoj
impressed,shokuar
impressing,duke bërë përshtypje
impression,përshtypje
impressions,përshtypjet
imprimis,në vend të parë (nga latinisht)
imprint,"shënjë, gjurmë, shënoj, printoj"
imprinted,"printuar, stampuar"
imprints,"shënjat, gjurmët, shënon, printon"
imprison,f. burgos; i heq lirinë;
imprisoned,burgosur
imprisoning,duke burgosur
imprisonment,burgim
improbable,i pamundshëm
improper,i papërshtatshëm
improperly,në mënyrë të papërshtatshme
impropriety,veprim i papërshtatshëm
improve,f. përmirësoj
improved,përmirësuar
improvement,"përmirësim, rinovim"
improvements,përmirësimet
improvident,i pakujdesshëm
improvidently,në mënyrë të pakujdesshme
improving,duke përmirësuar
improvising,duke improvizuar
imprudent,i pakujdesshëm
impudence,pakujdesi
impudent,"i paedukuar, i ashpër"
impudently,"në mënyrë të paedukuar, të ashpër"
impugn,shaj
impugned,sharë
impugns,shan
impulse,"impuls, dëshirë, instikt"
impulses,"shtyn, deshiron"
impure,"i pistë, i papastër"
impurity,papastërti
imputable,i fajësueshëm
imputation,"kredi, veti, atribut"
impute,"kreditoj, fajësoj, cilësoj"
imputed,"kredituar, fajësuar, cilësuar"
imputing,"duke kredituar, fajësuar, cilësuar"
in,"në, brënda"
in a week,pas një jave
in a word,me një fjalë
in broad daylight,në mes të ditës
in cool blood,me gjakftohtësi
in evidence,i dukshëm; që bie në sy
in fact,në të vërtetë
in front of,përpara
in general,përgjithësisht
in spide of,megjithë
in support,në mbështetje
in the front of,përpara
in vain,më kot
in virtue of,në sajë; me anë; në bazë të
inability,paaftësi
inaccessible,i papranueshëm
inaccurate,i/e pasaktë
inaccurately,në mënyrë të pasaktë
inaction,mosveprim
inactive,jo aktiv
inadequacy,pamjaftueshmëri
inadequate,i/e papërshtatshëm-e
inadequately,në mënyrë jo adeguate
inadmissible,i papranueshëm
inane,"i parëndësishëm, bosh, budalla"
inanimate,"pajetë, inert"
inapplicable,i pazbatueshëm
inappropriate,i/e papërshtatshëm
inasmuch,përderisa
inassociable,i pashoqërueshëm
inaudible,i padëgjueshëm
inaugurated,"inaguruar, hapur"
inauspicious,i papreferuar
incapable,i paaftë
incapacitate,"kufizoj, s'kualifikoj"
incapacitates,"kufizon, s'kualifikon"
incapacity,paaftësi
incarcerated,burgosur
incarnadine,ngjyrë mishi
incarnate,mishëroj
incautious,i pakujdesshëm
incense,"nxeh, porfumos"
incensed,"inatosur, nxehur"
incenses,"nxeh, porfumos"
incensing,"duke nxehur, duke porfumosur"
inception,"fillim, hapje"
incessant,i pandërprerë
incessantly,në mënyrë të pandërprerë
incest,incest
inch,1 inch = 2.54 cm
inched,matur
inches,1 inch = 2.54 cm
incident,incident
incidental,aksidental
incidentally,në mënyrl aksidentale
incidents,incidentet
incision,prerje
incite,"provokoj, stimuloj"
incited,"provokuar, eksituar"
incitement,"eksitim, provokim"
incites,"provokon, stimulon, ngacmon"
incivility,sjellje e egër
inclemency,"mungesë mëshire, ashpërsi"
inclinable,i përkulshëm
inclination,tendencë
inclinations,"tendencat, përkuljet"
incline,pjerrësi
inclined,"i pjerrët, tendencioz"
inclines,tenton
inclining,duke tentuar
include,përfshij
included,përfshirë
includes,përfshin
including,duke përfshirë
inclusion,përfshirje
inclusive,i përfshirë
incoherent,inkoherente
income,"e ardhur, fitim"
incoming,"hyrje, ardhje, duke hyrë, duke ardhur"
incommensurable,i pakrahasueshëm
incomparable,i pakrahasueshëm
incompatibility,mungesë harmonije
incompatible,i papërshtatshëm
incompetent,"i paaftë, jokompetent"
incomplete,i pakompletuar
incompletely,në mënyrë jo të plotë
incompleteness,"deficit, i pambaruar"
incomprehensibility,i pakuptueshëm
incomprehensible,i paimagjinueshëm
inconceivable,i pakonceptueshëm
inconclusive,i papërcaktuar
inconclusively,"në mënyrë të paprovuar, të papërfunduar"
incongruity,disharmoni
incongruous,i papërshtatshëm
inconsiderable,i parëndësishëm
inconsiderate,i pamendueshëm
inconsiderately,në mënyrë të pakujdesëshme
inconsiderateness,"mungesë vëmendje, nxitim"
inconsistencies,"paqëndrueshmëritë, ndryshimet"
inconsistency,paqëndrueshmëri
inconsistent,kontradiktor
inconstancy,mungesë qëndrueshmërie
inconstant,i paqëndrueshëm
incontestably,në mënyrë të pakundërshtueshme
incontinency,mungesë kontrolli
incontinent,pa kontroll
incontinently,në mënyrë të pakontrolluar
incontrovertible,në mënyrë të pakundërshtueshme
incontrovertibly,në mënyrë të pakundërshtueshme
inconvenience,"shqetësim, mungesë komforti"
inconveniences,"shqetësimet, mungesat e komfortit"
inconvenient,i pavolitshëm; i papërshtatshëm
incony,detikatë
incorporal,jo trupor
incorporate,"bashkoj, kombinoj"
incorporated,"bashkuar, kombinuar"
incorporates,"kombinon, bashkon"
incorporeal,jo trupor
incorrect,i gabuar
incorrectly,në mënyrë të gabuar
incorrectness,gabim
incorruptibility,"pafajësi, të qënit i pakorruptuar"
increase,"1. zmadhoj, shtoj, zgjeroj; 2. zmadhim, shtim, zgjerim"
increased,"rritur, zmadhuar"
increases,rrit
increasing,duke rritur
increasingly,në mënyrë rritëse
incredibility,mosbesim
incredible,i pabesueshëm
incredulous,"i pabesueshëm, skeptik"
increment,rritje
incriminate,akuzoj
incriminating,duke akuzuar
incubation,periudhë latente e sëmundjes
inculcate,"fus, mësoj"
inculcated,"futur, mësuar"
incumbent,mbajtës
incur,"sjell, shkaktoj"
incurable,i pashërueshëm
incurred,"sjellur, ndodhur"
incursions,"inkursione, sulme"
indebted,detyruar
indeed,në të vërtetë
indefatigably,në mënyrë të palodhshme
indefinite,i papërcaktuar
indefinitely,pafundësisht
indelible,i pashlyeshëm
indemnification,kompensim
indemnify,siguroj
indemnity,"siguracion, kompensim"
indemonstrable,i pa tregueshëm
independence,pavarësi
independent,"independent, i pavarur"
independently,në mënyrë të pavarur
independents,të pavarurit
indescribable,i papërshkrueshëm
indescribably,i papërshkrueshëm
indestructible,i pashkatërueshëm
indeterminable,i papërcaktuar
indeterminate,i papërcaktuar
indeterminateness,paqartësi
index,indeks
indexed,klasifikuar
indexes,"indekset, treguesit"
india,India
indian,indian
indicate,"tregon, shënon, sugjeron"
indicated,treguar
indicates,tregon
indicating,duke treguar
indication,tregues
indications,tregues
indicative,treguese
indict,akuzoj
indicted,akuzuar
indicting,duke akuzuar
indictment,akuzë
indifference,indiferencë
indifferent,indiferent
indifferentism,indiferentizëm
indifferently,në mënyrë indiferente
indigenous,vendas
indigent,i varfër
indigest,i çrregullt
indigested,i çrregulluar
indign,pavlerë
indignant,i indinjuar
indignantly,në mënyrë të furishme
indignation,zëmërim
indignations,zëmërimet
indigne,i pavlerë
indignities,"ofendime, poshtërime"
indignity,"ofendim, poshtërim"
indirect,indirekt
indirection,"mashtrim, kufi, indirekt"
indirections,"mashtrimet, kufinjtë"
indirectly,në mënyrë indirekte
indiscreet,i pakujdesshëm
indiscretion,pakujdesi
indiscriminate,jodiskriminuese
indispensable,i padiskutueshëm
indispensably,në mënyrë të padiskutueshme
indisposed,"sëmurur, mosdashur, kundërshtuar"
indisposition,"mosdashje, hezitim"
indisputable,i/e pakundërshtueshëm
indisputably,në mënyrë të pakundërshtueshme
indissoluble,i pazgjidhshëm
indissolubly,në mënyrë të pazgjidhshme
indistinct,i padallueshëm
indistinguishable,i padallueshëm
indite,"kompozoj, shkruaj"
indited,"kompozuar, shkruar"
individual,individuale
individualist,individualist
individuality,individualitet
individually,individualisht
individuals,individët
indivisible,i pandashëm
indubitable,i padiskutueshëm
indubitably,në mënyrë të padiskutueshme
induce,"shkaktoj, sjell"
induced,shkaktuar
inducement,"inkurajim, eksitim"
induces,shkakton
induction,prezantim
inductions,prezantimet
inductive,inductive
indue,vesh
indued,veshur
indues,vesh
indulge,jepem pas kënaqësisë
indulged,dhënë pas kënaqësisë
indulgence,dhënie pas kënaqësisë
indulgences,dhëniet pas kënaqësisë
indulgent,i dhënë pas kënaqësisë
indurance,vonesë
industrial,industrial
industrialized,i industrializuar
industries,industritë
industrious,punëtor
industriously,në mënyrë punëtore
industry,industri
indwelling,"duke jetuar, duke banuar"
ineffective,jo efektive
ineffectual,jo efektiv
inefficiency,"inefektivitet, paaftësi"
inefficient,inefiçent
inept,absurd
inequality,pabarazi
inert,inert
inescapable,"i paevitueshëm, i pashmangshëm"
inestimable,i pavlerësueshëm
inevitable,i/e paevitueshme
inevitably,në mënyrë të pashmangëshme
inexecrable,"i cilësisë së dobët, inferior"
inexhaustible,i palodhur
inexorable,i palëvizshëm
inexperience,pa eksperiencë
inexperienced,pa eksperiencë
inexplicable,"i pashpjegueshëm, misterioz"
inexpressible,i patregueshëm
inexpressibly,në mënyrë të patregueshme
inextinguishable,i pashueshëm
inextricable,i pazgjidhshëm
infallible,i pamposhtur
infallibly,në mënyrë të pamposhtur
infamies,turpet
infamous,"i tmerrshëm, i turpshëm, i keq"
infamy,"turp, fyerje"
infancy,foshnjëri
infant,foshnjë
infantry,trupa tokësore
infants,foshnjat
infatuated,"tërhequr, infektuar"
infect,infektoj
infected,infektuar
infecting,duke infektuar
infection,infeksion
infections,infeksionet
infectious,infektues
infectiously,në mënyrë infektoze
infects,"infekton, njollos"
infer,"marr me mend, konkludoj"
inference,"rrjedhje, supozim, konkluzion"
inferences,konkluzionet
inferior,inferior
inferiors,inferiorët
infernal,djallëzor
inferno,skëterë
inferred,supozuar
inferring,duke supozuar
infers,supozon
infertile,shterpë
infest,"eci në turmë, sulmoj"
infested,"sulmuar, invaduar"
infidel,"jo besimtar, i pafe"
infidels,të pabesët
infiltrate,"depërtoj, penetroj"
infiltrators,infiltruesit
infinite,"infinit, pafund"
infinitely,në mënyrë të pafundme
infinitive,paskajore
infinitude,pafundësi
infinity,pafundësi
infirm,i dobët
infirmities,"dobësi, sëmundje"
infirmity,"dobësi, sëmundje"
infixed,"mbërthej, vendos, ngul"
infixing,"duke mbërthuer, duke vendosur, duke ngulur"
inflame,"ndez, nxit"
inflamed,"ndezur, nxitur"
inflaming,"duke ndezur, duke nxitur"
inflammable,i djegshëm
inflammation,"infeksion, fryrje"
inflate,"zgjeroj, fryj"
inflation,inflacion
inflexible,i papërkulshëm
inflict,"imponoj, shkaktoj"
inflicting,duke shkaktuar
infliction,shkakësi
influence,influencoj; influencë
influenced,influencuar
influences,efektet
influencing,duke influencuar
influential,influencuese
info,shkurtim i informacion
infold,mbështjell
inform,"tregoj, informoj"
informal,jo formale jo zyrtare
informally,në mënyrë jo formale
information,informacion
informational,informativ
informations,informacionet
informative,informativ
informed,informuar
informer,njoftues
informers,"njoftuesat, informuesat"
informing,duke informuar
informs,"tregon, informon"
infrared,rreze elektromanjetike ultra te kuqe me gjatësi 750-1000 mikrometer
infrastructure,infrastrukturë
infringe,"shkel, dhunoj, ndërhyj"
infringed,"shkelur, thyer"
infringement,"dhunimet, ndërhyrjet"
infringing,duke shkelur (ligjin)
infuse,"derdh, nxis, frymëzoj"
infused,"derdhur, nxitur, frymëzuar"
infusing,"duke derdhur, nxitur, frymëzuar"
infusion,"transfuzion, penetrim"
infusions,"transfuzione, penetrime"
ingenious,"i zgjuar, gjenial"
ingeniously,në mënyrë gjeniale
ingenuous,"i pafajshëm, i ndershëm, naiv"
inglorious,i turpshëm
ingots,shufra (metalesh)
ingraft,"shartoj, vendos, fus"
ingrafted,"shartuar, vendosur, futur"
ingrate,mosmirënjohës
ingrateful,mosmirënjohës
ingratitude,mosmirënjohje
ingratitudes,mosmirënjohjet
ingredient,përbërje
ingredients,përbërjet
inhabit,"zë, jetoj, banoj"
inhabitable,i banueshëm
inhabitant,banor
inhabitants,banorët
inhabited,banuar
inhabits,"zë, jeton, banon"
inhere,me qenë pjesë integrale
inherence,trashëgimi
inherent,"i trashëguar, natyror, instinktiv"
inheres,është pjesëtar
inhering,duke qënë pjesëtar
inherit,trashëgoj
inheritable,i trashëgueshëm
inheritance,trashëgimi
inherited,trashëguar
inheriting,duke trashëguar
inheritor,trashëgimtar
inheritors,trashëgimtarët
inherits,trashëgon
inhibited,"kufizuar, kontrolluar"
inhibition,vonesë
inhospitable,jo mikëpritës
inhuman,jo njerëzor
inimical,armiqëësor
iniquities,padrejtësitë
iniquity,padrejtësi
initial,fillestar
initialization,fillim
initialize,filloj
initialized,filluar
initializes,fillon
initializing,duke filluar
initially,fillimisht
initiate,"filloj, lëshoj"
initiated,ftuar
initiating,duke nisur
initiation,"fillim, lëshim"
initiative,inisiativë
initiatives,nismat
injunction,"kufizim, ndalim"
injunctions,"kufizime, ndalime"
injure,dëmtoj
injured,"plagosur, dëmtuar"
injurer,shkaktar; ofendues
injures,"dëmton, plagos"
injuries,plagët
injuring,duke shkaktuar plagë
injurious,i dëmtuar
injury,"dëmtoj, dëmtim"
injustice,padrejtësi
ink,bojë
inked,"firmosur, bërë me bojë"
inkling,hamëndje
inky,me bojë
inlaid,vendos; zbukuroj
inland,brenda
inlay,zbukurim
inlet,hapje; hyrje
inlets,hapjet; hyrjet
inmate,i burgosur
inmates,të burgosurit
inmost,më thellë
inn,motel; hotel
innate,natyror; i/e trashëguar
inner,i brendshëm
innermost,më i thellë
innkeeper,pronar hoteli
innkeepers,pronar hotelesh
innocence,i/e pafajshëm
innocency,pafajësi
innocent,i/e pafajshëm
innocents,të pafajshëm
innovation,shpikje
innovative,"i ri, i rinovuar, krijues"
innovator,shpikës
inns,motelet; hotelet
innumerable,i/e panumërueshme
inoculate,vaksinë
inoffensive,i padëmshëm
inordinate,i parregullt
inorganic,jo organike
input,hyrja; kapaciteti
inputs,hyrjet; kapacitetet
inquest,kërkim
inquire,pyes; investigoj
inquired,pyetur; investiguar
inquirer,pyetës; investigator
inquirers,pyetësat; investigatorët
inquires,pyet
inquiries,investigimet
inquiring,duke pyetur
inquiry,pyetje; hetim; investigim
inquisition,hetim
inquisitive,"hetues, kurioz"
inroads,sulme; kalime
ins and outs,të gjitha hollësirat
insane,i/e çmendur
insanity,çmenduri
insatiable,në mënyrë të pakënaqshme
insatiate,i pakënaqur
inscribed,"shkruar, dedikuar"
inscription,shkrimet
inscriptions,shkrimet
inscrutable,"enigmatik, i thellë"
insect,insekt
insecure,i pasigurtë
insecurity,pasiguri
insensate,i pandjeshëm
insensible,i pandjeshëm
insensibly,në mënyrë të pandjeshme
inseparable,i pandashëm
inseparably,në mënyrë të pandashme
insert,vendos
inserted,vendosur
inserting,duke vendosur
insertion,"penetrim, vendosje"
inset,"shtesë, shtoj"
inside,brenda
insiders,persona të brendshëm
insidious,"artizanal, i pabesë"
insight,"perceptim, intuitë, urtësi"
insights,perceptimet
insignia,simbol
insignificant,i parëndësishëm
insinuate,aludoj
insinuated,aluduar
insinuating,duke aluduar
insinuation,aludim
insist,"insistoj, këmbëngul"
insisted,insistuar
insistence,këmbëngulje
insisting,"duke insistuar, duke këmbëngulur"
insists,"këmbëngul, insiston"
insociable,i pashoqërueshëm
insolence,arrogancë
insolent,arrogant
insoluble,i pashpjegueshëm
insomuch,përderisa
inspect,inspektoj
inspected,inspektuar
inspecting,duke inspektuar
inspection,inspektim
inspections,inspektimet
inspector,inspektor
inspectors,inspektorët
inspects,inspekton
inspiration,frymëzim
inspirations,frymëzimet
inspire,frymëzoj
inspired,frymëzuar
inspiring,duke frymëzuar
instability,paqëndrueshmëri
install,instaloj
installation,instalim
installations,instalimet
installed,instaluar
installing,duke instaluar
installment,e. instalim; bazë ushtarake; kapitull
instalment,pagesë; pjesë
instalments,pagesat; pjesët
instance,shëmbull
instances,shëmbujt
instant,"moment, menjëherë"
instantaneous,i menjëhershëm
instantly,në mënyrë të menjëhershme
instate,"pranoj, install, caktoj"
instead,në vend të
instigate,provokoj
instigated,provokuar
instigation,provokim
instigations,provokimet
instigator,provokator
instill,"fus, injektoj"
instilling,"duke futur, duke injektuar"
instinct,instikt
instinctively,në mënyrë instiktive
instincts,instiktet
institute,Institut
instituted,"vendosur, themeluar, hapur"
institution,institucion
institutional,institucional
institutions,institucione
instruct,"instruktoj, mësoj"
instructed,"mësuar, edukuar, instruktuar"
instructing,duke instruktuar
instruction,"mësimet, udhëzimet"
instructions,udhëzimet
instructive,instruktive
instructors,instruktorët
instructs,"mësoj, instruktoj, komandoj, drejtoj"
instrument,"instrument, mjet"
instrumental,instrumental
instrumentality,"ndihmë, metodë"
instrumentalizing,duke instumentalizuar
instruments,"instrumentat, pajisjet"
insubordination,"mosbindje, rebelim"
insubstantial,i pabazë
insufficiency,mungesë
insufficient,i pamjaftueshëm
insulate,"izoloj, mbroj"
insulation,izolim
insult,"fyej, fyerje"
insulted,fyer
insulter,fyes
insulting,duke fyer
insults,fyerjet
insuperable,i pakalueshëm
insupportable,i pabazë
insurance,e. siguracion; garanci
insured,"siguroj, verifikoj"
insurgency,e. kryengritje; rebelim
insurgents,kryengritës
insurmountable,i paarritshëm
insurrection,kryengritje
insurrections,kryengritjet
insusceptibility,pandjeshmëri
intact,"i/e paprekur, i/e padëmtuar"
intake,"marrje, konsumim"
integer,numër i plotë
integers,numrat e plotë
integral,"integral, i pandarë"
integrate,integroj; përfshij; bashkoj
integrated,integruar
integration,integrim
integrity,tërësi; ndershmëri
intellect,intelekt
intellects,intelektet
intellectual,intelektual
intellectualists,intelektualët
intellectualized,intelektualizoj
intelligence,inteligjente
intelligences,intelektet
intelligent,inteligjent
intelligently,në mënyrë inteligjente
intelligibility,kuptueshmëri
intelligible,e kuptueshme
intemperance,"ekstremitet, dhunë"
intemperate,"i pamoderuar, violent"
intend,"planifikoj, kam ndër mend"
intended,planifikuar
intending,duke planifikuar
intendment,qëllim
intendments,qëllimet
intends,ka për qëllim
intense,"intense, e fuqishme"
intensified,intensifikuar
intensify,"intensifikoj, përforcoj"
intensity,intensitet
intensive,intensiv
intensively,intensivisht
intent,qëllim
intention,qëllim
intentional,i qëllimshëm
intentionally,me qëllim
intentions,qëllimet
intentively,në mënyrë të vëmëndshme
intently,me qëllim
intents,qëllimet
inter,1. midis 2. varros
interact,bashkëveproj
interacted,"bashkëvepruar, vepruar reciprokisht"
interacting,duke bashkëvepruar
interaction,bashkëveprim
interactive,bashkëveprues
interacts,bashkëvepron
intercedes,ndërmjetëson
intercept,"kap, dalloj, ndaloj"
intercepted,"kapur, interceptuar"
intercepter,interceptues
interception,"kapje, interceptim"
intercepts,"kap, intercepton"
intercession,ndërmjetës
intercessors,ndërmjetësat
interchange,"kryqëzim, shkëmbej"
interchangeable,i shkëmbyeshëm
interchangeably,në mënyrë të shkëmbyeshme
interchanged,shkëmbyer
interchangement,shkëmbim
interchanging,duke shkëmbyer
interconnected,ndërthurur
intercourse,kontakt
interdependent,ndërlidhura
interdict,"ndalim, kufizim, ndaloj"
interdiction,"ndalim, kufizim"
interest,interes; përfitim; shqetësim
interested,interesuar
interesting,interesante
interests,interesat
interface,"lidh, koordinoj, ndërthurje"
interfaces,"lidh, koordinon, ndërthurjet"
interfacing,"duke lidhur, duke koordinuar"
interfere,ndërhyj
interfered,ndërhyrë
interference,ndërhyrje
interfering,duke ndërhyrë
interim,i/e përkohshme
interims,të përkohëshmit
interior,i brendshëm
interlocutor,bashkëbisedues
interlude,interval
intermediaries,"mediatorët, ndërmjetësuesit"
intermediary,"mediator, ndërmjetës"
intermediate,ndërmjetës
intermediates,ndërmjetësat
intermingle,përziej
intermingled,përzier
intermission,ndërprerje
intermit,ndaloj përkohësisht
intermittent,"jo i vazhdueshëm, sporadik"
intermix,përziej
intermixed,përzier
intermixture,përzierje
intern,"student në mjekësi, trajnoj, shërbej (në mjekësi)"
internal,i brendshëm
internally,në mënyrë të brendëshme
international,ndërkombetar
interne,doktor në trajnim
internet,internet
interpersonal,ndërpersonale
interpose,ndërmjetësoj
interposed,ndërmjetësuar
interposer,ndërmjetës
interposes,ndërmjetësoj
interposing,duke ndërmjetësuar
interposition,ndërmjetësim
interpret,"shpjegoj, interpretoj, përkthej"
interpretation,"shpjegim, komentim"
interpretations,interpretimet
interpretative,"klasifikuese, shpjeguese"
interpreted,përkthyer
interpreter,përkthyes
interpreters,përkthyesit
interpreting,duke interpretuar
interpretive,shpjegues
interprets,"përkthen, shpjegon"
interred,bashkëveprim
interrelated,reciproke
interrogate,pyes
interrogated,pyetur
interrogation,pyetje
interrogatories,pyetjet
interrupt,"v. ndërpres, frenoj n. nderpresje"
interrupted,ndërpres
interrupting,duke ndërprerë
interruption,"shpërthim, ndërprerje"
interrupts,ndërpret
intersected,kryqëzuar
intersection,kryqëzim
intersections,"kryqëzimet, udhëkryqet"
interspersed,"përzier, shpërndarë"
interval,"pushim, interval"
intervals,"pushimet, intervalet"
intervene,ndërhyj
intervening,duke ndërhyrë
intervention,ndërhyrje
interview,e. intervistë; takim; aplikim; f. intervistoj; aplikoj
interviewed,intervistuar
interviewing,duke intervistuar
interviews,intervistat
intestate,pa testament
intimacies,intimitetet
intimacy,intimitet
intimate,"i afërt, intim, privat, familjar"
intimately,në mënyrë intime
intimation,"iluzion, mësim"
intimidated,frikësuar
intimidation,frikësim
into,"në, drejt"
intolerable,i patolerueshëm
intolerance,mostolerancë
intoxicates,deh
intoxicating,duke dehur
intractable,"i pamanovrueshëm, kryeneç"
intransigence,mungesë vullneti
intrench,gërmoj kanal
intricacies,komplikimet
intricate,i komplikuar
intrigue,intrigë
intrigues,"intrigat, intrigon"
intriguing,duke intriguar
intrinsic,"themelore, esenciale"
intrinsically,në mënyrë thelbësore
intro,brenda
introduce,prezantuan
introduced,prezantuar
introduces,prezanton
introducing,duke prezantuar
introduction,"prezantim, hyrje"
introductory,hyrje
introspections,refleksione
introspective,"vetëkontrollues, duke parë brenda vehtes, kontemplativ"
intrude,ndërhyj
intruder,"invadues, hajdut"
intruding,duke ndërhyrë
intruduce,"prezantoj, shpall"
intrusion,futje me forcë
intrusive,agresive
intuiting,duke marrë me mend
intuition,intuitë
intuitive,intuitiv
intuitively,në mënyrë intuitive
inure,përshtas
inured,përshtatur
invade,pushtoj
invaded,pushtuar
invades,"invadon, pushton"
invading,duke pushtuar
invalid,pavlerë
invalidate,"neutralizoj, anulloj"
invalidity,"anullim, çvlerësim"
invaluable,"i paçmuar, shumë i vlefshëm"
invariable,"i pandryshueshëm, konstante"
invariably,në mënyrë të vazhduar
invariant,konstant
invasion,pushtim
invasions,pushtimet
invasive,i ndërprerë
invective,"fatkeqësi, fyerje, abuzim"
invectively,"në mënyrë fyese, abuzive"
invectives,abuzimet
inveigh,protestoj
inveighed,protestuar
inveigled,protestuar
invent,shpik
invented,shpikur
invention,shpikje
inventions,shpikjet
inventive,krijues
inventor,shpikës
inventoried,inventarizoj
inventors,inventarizuesit
inventory,inventar
inverse,i kundërt
inversely,në drejtim të kundërt
invert,"përmbys, kthej në të kundërt"
invest,investoj
invested,investuar
investigate,hetoj
investigated,hetuar
investigates,heton
investigating,duke hetuar
investigation,"hetim, shqyrtim"
investigations,hetimet
investigator,"hetues, detektiv, kërkues"
investigators,hetuesit
investing,duke investuar
investment,investim
investments,investimet
investor,investor
investors,investorët
invigoration,"forcim, riforcim, rigjallërim"
invincibility,pamposhtësi
invincible,i pamposhtur
inviolable,"i shenjtë, i padhunueshëm"
invisible,i padukshëm
invisibly,në mënyrë të padukshme
invitation,ftesë
invitations,ftesat
invite,ftoj
invited,ftuar
invites,fton
inviting,duke ftuar
invocate,"thërras, lutem"
invocation,"thirrje, lutje"
invocations,"thirrjet, lutjet"
invoke,"thërras, lutem"
invoked,"kërkuar, lutur"
invokes,"thërret, lutet"
invoking,"duke thërritur, duke u lutur"
involuntarily,në mënyrë të paqëllimtë
involuntary,pa dashje
involve,"shkaktoj, angazhoj"
involved,"angazhuar, implikuar"
involvement,"angazhim, pjesëmarrje"
involves,pjesëmarrje
involving,duke ingranuar
invulnerable,i padepërtueshëm
inward,i brendshëm
inwardly,"në mënyrë të brendshme, sekrete"
inwardness,intimitet
inwards,në mënyrë intime
ionian,jonian
iranian,iranian
ire,"zëmërim, inat"
ireful,i inatosur
ireland,Irlanda
irish,irlandez
irishman,irlandez
irishmen,irlandezët
irked,"lodhur, mërzitur"
irks,"mërzis, ngacmoj"
irksome,"duke mërzitur, duke ngacmuar"
iron,hekur
ironed,hekurosur
ironic,ironik
ironically,në mënyrë ironike
irons,hekurat
irony,"ironi, paradoks"
irradiated,i rrezatuar
irradiation,rrezatim
irrational,iracional
irrationalities,iracionalitetet
irrebuttable,i parefuzueshëm
irreconcilable,i papajtueshëm
irrecoverable,i pakorrigjueshëm
irrefutable,i pagabueshëm
irrefutably,i pakundërshtueshëm
irregular,i parregullt
irregularities,parregullsitë
irregularity,çrregullsi
irrelevant,i palidhur
irreligious,jo fetar
irremediable,i pakorigjueshëm
irreparable,i pariparueshëm
irrepressible,i pakontrollueshëm
irresistible,i parezistueshëm
irresistibly,në mënyrë të parezistueshme
irresolute,i pavendosur
irresolution,pavendosmëri
irrespective,"pavarësisht nga, i pa lidhur me"
irresponsible,i papërgjegjshëm
irresponsibly,në mënyrë të papërgjegjshme
irreversibly,në mënyrë të pakthyeshme
irrevocable,i pakthyeshëm
irrigation,kullim
irrigation plan,plani i kullimit
irritable,"iritues, ngacmues"
